pnum,stntype,stnstatus,opstatus,sitecity,sitestate,region,lat,lon,elev,project,networks,multi_types,is_realtime,mean_latency_last_hour,mean_latency_last_day,data_complete_last_day,data_complete_last_hour,status
AB15,GPS,Installed,Operable,Nyac,AK,AK,61.039750159727134,-159.8783618659032,560.3309323324365,PBO,"NOTA, PBO",GPS,0,,,,,"Status Unavailable"
AB17,GPS,Installed,Operable,UNALAKLEET,AK,AK,63.88635700764998,-160.6947316702702,117.43698858854896,PBO,"NOTA, PBO",GPS,0,,,,,OK
AB18,GPS,Installed,Operable,KOTZEBUE,AK,AK,66.85836090599517,-162.61350889085847,37.10602490881025,PBO,"NOTA, PBO",GPS,1,306,1087,0,0,OK
AB21,GPS,Installed,Operable,ADAK,AK,AK,51.86414894892925,-176.66264970335098,59.41463348482816,PBO,"NOTA, PBO",GPS,0,,,,,"Status Unavailable"
AB22,GPS,Installed,Operable,ILIAMNA,AK,AK,59.89931736210573,-154.69825946642598,199.8635930854651,PBO,"NOTA, PBO",GPS,0,,,,,OK
AB25,GPS,Installed,Operable,McGrath,AK,AK,62.92930803960141,-156.02339182285937,961.056651210577,PBO,"NOTA, PBO",GPS,0,,,,,OK
AB27,GPS,Installed,Operable,kobuk,AK,AK,67.0558839637593,-156.90489049820238,508.1031565007344,PBO,"NOTA, PBO",GPS,0,,,,,"Status Unavailable"
AB28,GPS,Installed,Operable,Anchorage,AK,AK,62.09381257559818,-152.81491919541727,1582.7676760673,PBO,"NOTA, PBO",GPS,0,,,,,OK
AB33,GPS,Installed,Operable,Coldfoot,AK,AK,67.25101019975828,-150.17254564526687,334.7614970698129,PBO,"NOTA, PBO",GPS,1,1150,1155,99,100,OK
AB35,GPS,Installed,Operable,"Cape Yakataga",AK,AK,60.079068433707235,-142.38987889999854,536.9208506242664,PBO,"NOTA, PBO",GPS,0,,,,,OK
AB36,GPS,Installed,Operable,"Manley Hot Spring",AK,AK,65.03039625667579,-150.7439857857914,816.540726357594,PBO,"NOTA, PBO",GPS,0,,,,,OK
AB37,GPS,Installed,Operable,Paxson,AK,AK,62.96732218429457,-145.4518842394028,1136.6752380657758,PBO,"NOTA, PBO",GPS,1,1144,1563,96,74,OK
AB39,GPS,Installed,Operable,"Fort Yukon",AK,AK,66.55934438109233,-145.21263269981444,147.68676105284004,PBO,"NOTA, PBO",GPS,0,,,,,OK
AB41,GPS,Installed,Operable,Eagle,AK,AK,64.77732400440001,-141.15806903515642,285.92621476122014,PBO,"NOTA, PBO",GPS,0,,,,,OK
AB42,GPS,Installed,Operable,,AK,AK,59.34037749877107,-138.89881792316046,773.5524436730169,PBO,"NOTA, PBO",GPS,0,,,,,"Status Unavailable"
AB43,GPS,Installed,Operable,n/a,AK,AK,58.19884181401615,-136.64081197458123,27.236020546159544,PBO,"NOTA, PBO",GPS,1,101,92,100,100,OK
AB44,GPS,Installed,Operable,Skagway,AK,AK,59.52803797323826,-135.22830002458798,304.46531922588673,PBO,"NOTA, PBO",GPS,1,1025,1031,98,100,OK
AB45,GPS,Installed,Operable,NA,AK,AK,68.76049265203245,-148.8711536450559,507.0147801139916,PBO,"NOTA, PBO",GPS,0,,,,,OK
AB46,GPS,Installed,Operable,"ARCTIC VILLAGE",AK,AK,68.12067009289589,-145.56790290111064,647.8834990711468,PBO,"NOTA, PBO",GPS,0,,,,,OK
AB48,GPS,Installed,Operable,"Port Alexander",AK,AK,56.24506019336533,-134.64700033465436,5.349694565616703,PBO,"NOTA, PBO",GPS,0,,,,,OK
AB49,GPS,Installed,Operable,Klawock,AK,AK,55.58010061886747,-133.06848822840732,17.553806783470744,PBO,"NOTA, PBO",GPS,1,307,373,0,0,OK
AB50,GPS,Installed,Operable,Juneau,AK,AK,58.41677402676858,-134.54530372899,51.848357554355026,PBO,"NOTA, PBO",GPS,1,1113,1095,99,100,OK
AB51,GPS,Installed,Operable,Petersburg,AK,AK,56.79762152147333,-132.9135641882441,76.05984893987558,PBO,"NOTA, PBO",GPS,1,1185,1157,99,100,OK
ABBZ,GPS,Installed,Operable,"Ross Island",,AntA,-77.456879,166.908938,1734.2656,Polar,Polar,GPS,0,,,,,OK
ABPO,GPS,Installed,Operable,Antananarivo,,noUS,-19.01831,47.22921,1552.992,GGN,,GPS,0,,,,,"Status Unavailable"
ABVI,GPS,Installed,Operable,Anegada,,noUS,18.72968445771217,-64.33248469265499,-35.58880962512906,COCONetRT,"NOTA Affiliated, COCONet","GPS, Meteorological Stations",1,-1,-1,0,0,"Status Unavailable"
AC02,GPS,Installed,Operable,Akhiok,AK,AK,56.95058617620744,-154.18304949271553,126.88724209027512,PBO,"NOTA, PBO",GPS,1,-1,-1,0,0,OK
AC03,GPS,Installed,Operable,"Anchor Point",AK,AK,59.7706352336331,-151.86453441609214,19.77204725959601,PBO,"NOTA, PBO",GPS,1,179,139,100,100,OK
AC06,GPS,Installed,Operable,"Bradley Lake",AK,AK,59.76363592486297,-150.89056096113958,631.569003411233,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC07,GPS,Installed,Operable,Buckland,AK,AK,65.96129078047153,-161.28661663372236,176.32225254732347,PBO,"NOTA, PBO",GPS,0,,,,,"Status Unavailable"
AC08,GPS,Installed,Operable,Homer,AK,AK,58.928772951543344,-153.64470157092987,644.2850451349452,PBO,"NOTA, PBO",GPS,0,,,,,"Status Unavailable"
AC09,GPS,Installed,Operable,Cordova,AK,AK,59.86847979622404,-144.52385386145215,368.94531144300424,PBO,"NOTA, PBO","GPS, Meteorological Stations",0,,,,,OK
AC10,GPS,Installed,Operable,"Cape Sarichef",AK,AK,54.522579697605764,-164.88673029749876,170.52903532613033,USGS,,GPS,0,,,,,"Status Unavailable"
AC11,GPS,Installed,Operable,Chickaloon,AK,AK,61.80707839996425,-148.3317533375553,790.9599797979652,PBO,"NOTA, PBO",GPS,1,101,348,97,100,OK
AC12,GPS,Installed,Operable,"Sand Point",AK,AK,54.83095705685774,-159.58956280025515,84.60574897440999,PBO,"NOTA, PBO",GPS,1,533,729,100,100,OK
AC13,GPS,Installed,Operable,Akhiok,AK,AK,55.821895529599466,-155.62239983948987,222.7536450913096,PBO,"NOTA, PBO",GPS,0,,,,,"Status Unavailable"
AC14,GPS,Installed,Operable,Whittier,AK,AK,60.848703575568166,-147.99958653286063,748.7699504616376,PBO,"NOTA, PBO",GPS,1,114,102,100,100,OK
AC15,GPS,Installed,Operable,"Cooper Landing",AK,AK,60.48133285921329,-149.72401115569002,151.56829684884738,PBO,"NOTA, PBO",GPS,1,40,50,42,76,OK
AC16,GPS,Installed,Operable,,AK,AK,60.51820651824895,-148.09323837243628,34.248930553527785,Other,Other,GPS,0,,,,,"Status Unavailable"
AC17,GPS,Installed,Operable,"Drift River Drainage",AK,AK,60.663899640112625,-152.4038471905293,882.7365629294761,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC18,GPS,Installed,Operable,Homer,AK,AK,58.925955923091884,-152.2495326994988,214.82698566684795,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC19,GPS,Installed,Operable,Farewell,AK,AK,62.51921129593331,-153.60733416264725,546.5490340546866,PBO,"NOTA, PBO",GPS,0,,,,,"Status Unavailable"
AC20,GPS,Installed,Operable,Girdwood,AK,AK,60.929207315861575,-149.35250801396515,43.78281382356998,PBO,"NOTA, PBO","GPS, Meteorological Stations",1,50,30,100,100,OK
AC21,GPS,Installed,Operable,PERRYVILLE,AK,AK,55.921084019759626,-159.12771895918542,170.83994732335114,PBO,"NOTA, PBO",GPS,1,455,599,99,100,OK
AC23,GPS,Installed,Operable,SOLDOTNA,AK,AK,60.47509100556234,-150.87795627416475,80.90298634202833,PBO,"NOTA, PBO",GPS,1,74,66,100,100,OK
AC24,GPS,Installed,Operable,"King Salmon",AK,AK,58.68157021250099,-156.652756701362,36.37073975700762,PBO,"NOTA, PBO",GPS,1,48,46,99,100,OK
AC25,GPS,Installed,Operable,"KING COVE",AK,AK,55.08896588249135,-162.31405307071228,584.2783086002552,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC26,GPS,Installed,Operable,KODIAK,AK,AK,58.21455364852214,-154.15029379957178,190.20110698436363,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC27,GPS,Installed,Operable,"McNeil River Game Refuge",AK,AK,59.252504131719505,-154.16288188731258,417.5472658476404,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC28,GPS,Installed,Operable,"Sand Point",AK,AK,55.078486899155116,-160.04915973934632,365.00997564099174,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC29,GPS,Installed,Operable,"Middleton Island",AK,AK,59.42958922388372,-146.33997953873734,56.61428209496015,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC31,GPS,Installed,Operable,ELIM,AK,AK,64.63797383836754,-162.23912627937548,228.33262066958397,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC32,GPS,Installed,Operable,Susitna,AK,AK,61.473118792883255,-150.73691901024304,1347.7928076757175,PBO,"NOTA, PBO",GPS,1,3,5,95,100,OK
AC33,GPS,Installed,Operable,Petersville,AK,AK,62.6711758342224,-150.68507726602704,1521.1605922063268,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC34,GPS,Installed,Operable,"Old Harbor",AK,AK,57.22002714886925,-153.27918273483755,103.28774223460057,PBO,"NOTA, PBO","GPS, Meteorological Stations",0,,,,,OK
AC35,GPS,Installed,Operable,Homer,AK,AK,59.375810418047124,-150.79324833702825,408.59982643530356,PBO,"NOTA, PBO",GPS,0,,,,,"Status Unavailable"
AC36,GPS,Installed,Operable,Nikiski,AK,AK,60.95531563153042,-150.60835032130095,46.530675778073785,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC37,GPS,Installed,Operable,"Port Alsworth",AK,AK,60.43968466118025,-153.8653837441097,1626.624765347766,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC38,GPS,Installed,Operable,Kodiak,AK,AK,57.75368414569145,-153.34187585665933,43.914510247519935,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC39,GPS,Installed,Operable,"Shuayk Island",AK,AK,58.609717329090955,-152.39407505440778,157.27639090494876,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC40,GPS,Installed,Operable,"Port Heiden",AK,AK,56.930348710529486,-158.6185712855725,39.920166069091934,PBO,"NOTA, PBO",GPS,0,,,,,"Status Unavailable"
AC41,GPS,Installed,Operable,"Port Moller",AK,AK,55.9086650763225,-160.40730363901318,407.7373939762785,PBO,"NOTA, PBO",GPS,0,,,,,"Status Unavailable"
AC42,GPS,Installed,Operable,"Sanak Island",AK,AK,54.47177438519119,-162.78365288378123,257.92557551276434,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC43,GPS,Installed,Operable,Seward,AK,AK,59.521281511025016,-149.62873963794462,69.5929169807397,PBO,"NOTA, PBO",GPS,0,,,,,"Status Unavailable"
AC44,GPS,Installed,Operable,Anchorage,AK,AK,61.242172311569156,-149.5671289456143,832.2025305510618,PBO,"NOTA, PBO","GPS, Meteorological Stations",1,206,199,95,100,OK
AC45,GPS,Installed,Operable,"Island of Sitkinak",AK,AK,56.56445503637924,-154.18096648452737,451.027386645084,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC46,GPS,Installed,Operable,Skwentna,AK,AK,61.9862665551366,-151.5240037325963,619.8200981735187,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC47,GPS,Installed,Operable,"Drift River",AK,AK,60.081448233940314,-152.6239454428102,922.3995261240393,PBO,"NOTA, PBO",GPS,0,,,,,"Status Unavailable"
AC48,GPS,Installed,Operable,Valdez,AK,AK,60.64586503630686,-147.3430230153313,379.5282921376565,PBO,"NOTA, PBO",GPS,1,9,6,100,100,OK
AC50,GPS,Installed,Operable,,AK,AK,65.55384691391811,-164.56656980032986,516.8497796574409,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC51,GPS,Installed,Operable,Tyonek,AK,AK,61.498080542066866,-151.83534952244884,957.4996371518748,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC52,GPS,Installed,Operable,"Pilot Point",AK,AK,57.56724710374818,-157.5742185423781,51.84846437717682,PBO,"NOTA, PBO",GPS,0,,,,,"Status Unavailable"
AC53,GPS,Installed,Operable,Willow,AK,AK,61.76897079256531,-150.06895576815418,57.502083995906496,PBO,"NOTA, PBO",GPS,1,378,436,100,100,"Status Unavailable"
AC57,GPS,Installed,Operable,Valdez,AK,AK,61.138598260791085,-145.7427093408735,826.5224663906881,PBO,"NOTA, PBO",GPS,1,-1,-1,100,100,OK
AC58,GPS,Installed,Operable,"St. Paul",AK,AK,57.156086231175635,-170.21782053335735,19.38210226657556,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC59,GPS,Installed,Operable,"Ursus Head",AK,AK,59.567194783808226,-153.58520169119913,308.6631724281199,PBO,"NOTA, PBO",GPS,1,101,154,99,100,OK
AC60,GPS,Installed,Operable,"Shemya Island",AK,AK,52.71461972190593,174.07626489085052,18.30586360213042,PBO,"NOTA, PBO",GPS,1,-1,-1,0,0,OK
AC61,GPS,Installed,Operable,CHICKEN,AK,AK,64.02925792367786,-142.07584911674059,745.4046979962702,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC62,GPS,Installed,Operable,Paxson,AK,AK,63.08360538628942,-146.31270174444342,1347.1788562071702,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC63,GPS,Installed,Operable,Paxson,AK,AK,63.50242436465893,-145.84724707923178,815.1648900891879,PBO,"NOTA, PBO",GPS,1,1126,1234,75,100,OK
AC64,GPS,Installed,Operable,Chistochina,AK,AK,62.714016005178955,-144.3039939050721,774.5832528059516,PBO,"NOTA, PBO",GPS,1,-1,1146,0,0,OK
AC65,GPS,Installed,Operable,Mentasta,AK,AK,62.83151066305686,-143.7042224960275,735.9044402903803,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC66,GPS,Installed,Operable,"Amchitka Island",AK,AK,51.37812822787896,179.30132128686108,106.78960704438107,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC67,GPS,Installed,Operable,KODIAK,AK,AK,57.790717380102386,-152.42543698058182,347.3424600922841,PBO,"NOTA, PBO",GPS,1,63,45,100,100,OK
AC70,GPS,Installed,Operable,CANTWELL,AK,AK,63.30470953633319,-148.18832524703143,810.8924286025716,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC71,GPS,Installed,Operable,"Delta Junction",AK,AK,64.049303258488,-145.71362524498883,364.03574882875114,PBO,"NOTA, PBO",GPS,1,1189,1178,100,100,OK
AC72,GPS,Installed,Operable,"Delta Junction",AK,AK,63.69505663694597,-145.88769794414588,558.8600673025511,PBO,"NOTA, PBO",GPS,1,1180,1336,87,100,OK
AC74,GPS,Installed,Operable,Cantwell,AK,AK,63.46435499236529,-148.807262380923,668.6211250458803,PBO,"NOTA, PBO",GPS,1,92,91,99,100,OK
AC75,GPS,Installed,Operable,Cantwell,AK,AK,62.999302908946476,-149.6088243881619,608.6852699270386,PBO,"NOTA, PBO",GPS,1,92,97,100,100,OK
AC76,GPS,Installed,Operable,Tok,AK,AK,63.03999692761249,-143.25881677986877,1585.321781886384,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC77,GPS,Installed,Operable,Paxson,AK,AK,62.688031570598085,-145.42626221088213,746.9161994957824,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC78,GPS,Installed,Operable,Northway,AK,AK,63.11348986095331,-142.02793915077834,643.7530933378632,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC79,GPS,Installed,Operable,Seward,AK,AK,59.99787172014745,-147.40305048882024,287.76039492805216,PBO,"NOTA, PBO",GPS,0,,,,,OK
AC80,GPS,Installed,Operable,Skwentna,AK,AK,62.39407580804798,-151.76504366915984,1114.5488501723723,PBO,"NOTA, PBO",GPS,0,,,,,OK
ACHO,GPS,Installed,Operable,Achotines,,Coco,7.414731077069346,-80.17310628781831,35.59945114376362,COCONet,"NOTA, COCONet","GPS, Meteorological Stations",1,-1,-1,99,100,OK
ACP1,GPS,Installed,Operable,Sherman,Colon,Coco,9.371393211725566,-79.94985810107153,12.78027562167198,COCONet,"NOTA Affiliated, COCONet",GPS,0,,,,,"Status Unavailable"
ACP6,GPS,Installed,Operable,Panama,Panama,Coco,9.238477170823284,-79.4078218731866,943.5331897775188,COCONet,"NOTA Affiliated, COCONet",GPS,0,,,,,"Status Unavailable"
ACSB,GPS,Installed,Operable,Oceanside,CA,SW,33.27426680714231,-117.44489457148251,-12.290968144564717,"SoCal Edison","NOTA, SoCal Edison",GPS,1,0,0,99,100,OK
ACSO,GPS,Installed,Operable,Delaware,OH,East,40.232360990270855,-82.98153361077101,248.17970069722938,PBO,"NOTA, PBO",GPS,1,4,3,100,100,"Status Unavailable"
ACSX,GPS,Installed,Operable,Oceanside,CA,SW,33.274266804175966,-117.44489456833273,-12.288325969751964,PBO-extended,"NOTA, PBO",GPS,1,0,0,100,100,"Status Unavailable"
AGHI,GPS,Installed,Operable,"Aghiyuk Island",Alaska,AK,56.195048987322025,-156.80186680248465,190.52603682549392,PI,PI,GPS,0,,,,,OK
AGMT,GPS,Installed,Operable,"Johnson Valley",CA,SW,34.59428181823997,-116.42938156422292,1337.8527142215696,PBO,"NOTA, PBO",GPS,1,-1,-1,100,100,OK
AGNS,GPS,Installed,Operable,Agness,OR,NW,42.55276533116909,-124.05911335823333,51.38335831563872,PBO,"NOTA Affiliated, PBO",GPS,1,351,408,100,100,OK
AGPR,GPS,Installed,Operable,Aguadilla,"Puerto Rico",N/A,18.467533687206316,-67.11123441288618,73.00884534693469,COCONet,"NOTA Affiliated, COCONet",GPS,0,,,,,"Status Unavailable"
AHID,GPS,Installed,Operable,Auburn,WY,East,42.773118363816785,-111.06374286747521,1975.559974931154,PBO,"NOTA, PBO",GPS,0,,,,,OK
AIR1,BSM,Installed,Operable,-,-,Coco,16.7408514345,-62.2138562081,82.2349,COCONet,"NOTA, COCONet","Borehole Strainmeters",0,,,,,"Status Unavailable"
AIRS,GPS,Installed,Operable,-,-,Coco,16.74082960567977,-62.21385488911301,84.44430227921865,COCONet,"NOTA, COCONet",GPS,1,174,174,100,100,OK
AKAL,GPS,Installed,Operable,Akhalkalaki,,noUS,41.41011823,43.49268137,1724.0829,Other,Other,GPS,0,,,,,"Status Unavailable"
AKHA,GPS,Installed,Operable,Akhaltsikhe,,noUS,41.63078382,42.96813773,1271.5064,Other,Other,GPS,0,,,,,"Status Unavailable"
ALAM,GPS,Installed,Operable,Alamo,NV,East,37.357957318606736,-115.15846112535607,1090.0269656320968,PBO-extended,"NOTA, PBO",GPS,1,287,291,100,100,OK
ALEF,GPS,Installed,Operable,Houston,Texas,N/A,29.69183305,-95.63505211,5.5986,PI,PI,GPS,0,,,,,"Status Unavailable"
ALIG,GPS,Installed,Operable,Mtskhetisjvari,,noUS,42.1046463455,43.6490121663,838.17306,Other,Other,GPS,0,,,,,"Status Unavailable"
ALPA,GPS,Installed,Operable,Rioacha,,Coco,11.527985072637888,-72.91775655065999,1.8040485994078352,COCONet,"NOTA Affiliated, COCONet",GPS,0,,,,,"Status Unavailable"
ALPP,GPS,Installed,Operable,Neenach,California,SW,34.82449222718424,-118.69480400459909,918.12838589978,USGS,,GPS,1,-1,-1,100,100,OK
ALUT,GPS,Installed,Operable,Alta,Utah,N/A,40.583907198020285,-111.62021649004237,2824.01770017122,PI,PI,GPS,0,,,,,OK
AMU2,GPS,Installed,Operable,"South Pole",Antarctica,AntA,-89.99815643,-74.70185406,2816.8275,Polar,Polar,GPS,0,,,,,OK
ANA1,GPS,Installed,Operable,"Anacapa Island",CA,SW,34.01500863752474,-119.3634757546204,22.4537393256242,PBO,"NOTA, PBO",GPS,1,5,20,100,100,OK
ANDC,GPS,Installed,Operable,"Andronica Island",Alaska,AK,55.32319946599079,-160.08824598259892,370.8058067129614,PI,PI,GPS,0,,,,,"Status Unavailable"
ANNQ,GPS,Installed,Operable,"Port Heiden",Alaska,AK,56.932754,-158.1131,371,USGS,,GPS,0,,,,,OK
ANVM,GPS,Installed,Operable,"Port Heiden",Alaska,AK,56.8858,-56.8858,591,USGS,,GPS,0,,,,,OK
AOPR,GPS,Installed,Operable,Arecibo,,noUS,18.34653097648252,-66.7540914900485,319.573567133398,COCONetRT,"NOTA Affiliated, COCONet","GPS, Meteorological Stations",1,-1,-1,100,100,"Status Unavailable"
APEC,GPS,Installed,Operable,Apuela,,noUS,0.332829,-78.5461,1722,Other,Other,GPS,0,,,,,"Status Unavailable"
AQUE,GPS,Installed,Operable,,,N/A,37.23811,-116.15991,1910,PI,PI,GPS,0,,,,,OK
AR27,GPS,Installed,Operable,"Camp Pendleton",CA,SW,33.34185043457176,-117.32493417203321,32.32397362071768,"SoCal Edison","NOTA, SoCal Edison",GPS,1,4,6,100,100,OK
AR53,GPS,Installed,Operable,"Camp Pendleton",CA,SW,33.381137202630875,-117.4765087060315,111.05936857982046,"SoCal Edison","NOTA, SoCal Edison",GPS,1,252,336,99,100,OK
AREQ,GPS,Installed,Operable,Arequipa,,N/A,-16.465517,-71.49279666666666,2488.9226,GGN,,GPS,0,,,,,"Status Unavailable"
ARM1,GPS,Installed,Operable,Arvin,California,SW,35.201252268202566,-118.91042745067205,76.29773255029473,USGS,,GPS,1,-1,-1,0,0,OK
ARM2,GPS,Installed,Operable,Arvin,California,SW,35.201259961758645,-118.91056223877763,76.2950599868136,USGS,,GPS,1,-1,-1,100,100,OK
ARML,GPS,Installed,Operable,Armorel,Arkansas,N/A,35.91728218144476,-89.80289950484996,50.03269940381522,PI,PI,GPS,0,,,,,OK
ARVL,GPS,Installed,Operable,McMurdo,,AntA,-77.82944,166.66364,131.9,Polar,Polar,GPS,0,,,,,"Status Unavailable"
ASKY,GPS,Installed,Operable,Qaasuitsup,Greenland,Arct,75.7261293335969,-58.257355508328885,687.4919616815274,Polar,Polar,GPS,0,,,,,OK
AT01,GPS,Installed,Operable,"St Michael",Alsaka,AK,63.48404485412903,-162.00640169550874,21.61127017757063,PI,PI,GPS,0,,,,,OK
ATQK,GPS,Installed,Operable,Atqasuk,Alaska,Arct,70.472033193,-157.4078686,28.0096,Polar,Polar,"GPS, Meteorological Stations",0,,,,,"Status Unavailable"
ATT3,GPS,Installed,Operable,"Santo Domingo","Distrito Nacional",Coco,18.506934370444387,-69.97917168042352,29.552325008386344,COCONet,"NOTA Affiliated, COCONet",GPS,0,,,,,OK
ATW2,GPS,Installed,Operable,Palmer,AK,AK,61.597753217658834,-149.13229666156602,97.11438515444753,PBO,"NOTA, PBO",GPS,1,88,87,100,100,OK
AULT,GPS,Installed,Operable,Cypress,Texas,N/A,29.997776,-95.744668,25.3,PI,PI,GPS,0,,,,,OK
AV01,GPS,Installed,Operable,"Augustine Volcano",AK,AK,59.35852734100667,-153.4608022157081,487.2923350966811,PBO,"NOTA, PBO",GPS,1,1201,1301,99,100,OK
AV02,GPS,Installed,Operable,"Augustine Volcano",AK,AK,59.33297111882603,-153.42839217160684,229.8862093091161,PBO,"NOTA, PBO",GPS,1,56851,19093,0,0,OK
AV04,GPS,Installed,Operable,"Augustine Volcano",AK,AK,59.36257979649303,-153.44467433193506,916.0013883737238,PBO,"NOTA, PBO",GPS,0,,,,,OK
AV06,GPS,Installed,Operable,Akutan,AK,AK,54.14717712556912,-165.76572177312502,463.1468925069036,USGS,,GPS,0,,,,,OK
AV07,GPS,Installed,Operable,Akutan,AK,AK,54.162934829677496,-166.03853837996704,521.163408603094,USGS,,GPS,0,,,,,OK
AV08,GPS,Installed,Operable,Akutan,AK,AK,54.136297077149784,-166.02827306603606,598.4437404356398,USGS,,"GPS, Tiltmeters",0,,,,,"Status Unavailable"
AV09,GPS,Installed,Operable,Unalaska,AK,AK,53.87563243667612,-166.54183764001374,105.72806312385677,PBO,"NOTA, PBO",GPS,1,62,33,98,100,OK
AV10,GPS,Installed,Operable,"Akutan  ",AK,AK,54.097607087964306,-165.93376592216126,329.60952693781184,USGS,,"GPS, Tiltmeters",0,,,,,OK
AV11,GPS,Installed,Operable,"Augustine Volcano",AK,AK,59.37062448763917,-153.3546868513466,115.00457398672378,PBO,"NOTA, PBO",GPS,1,1616,1400,99,100,OK
AV12,GPS,Installed,Operable,Akutan,AK,AK,54.2107974504938,-165.8975469147937,404.7873616051224,USGS,,GPS,0,,,,,OK
AV13,GPS,Installed,Operable,"Akutan  ",AK,AK,54.153079061923904,-165.89781621110433,494.8785767171488,USGS,,"GPS, Tiltmeters",0,,,,,OK
AV14,GPS,Installed,Operable,"Akutan  ",AK,AK,54.118892493900184,-165.84156944199776,396.41043892752367,USGS,,"GPS, Tiltmeters",0,,,,,OK
AV15,GPS,Installed,Operable,"Akutan  ",AK,AK,54.10019161585339,-165.71011410332733,457.4790811111292,USGS,,GPS,0,,,,,OK
AV16,GPS,Installed,Operable,"Augustine Volcano",AK,AK,59.38590776275747,-153.5350463083552,25.45995716990792,PBO,"NOTA, PBO",GPS,0,,,,,OK
AV17,GPS,Installed,Operable,"Augustine Volcano",AK,AK,59.40394339602048,-153.45144648516202,29.467000781780538,PBO,"NOTA, PBO",GPS,0,,,,,OK
AV18,GPS,Installed,Operable,"Augustine Volcano",AK,AK,59.38043066197028,-153.43683492961895,367.1907524670096,PBO,"NOTA, PBO",GPS,0,,,,,OK
AV19,GPS,Installed,Operable,"Augustine Volcano",AK,AK,59.354904665795054,-153.41432918796392,647.4437622618435,PBO,"NOTA, PBO",GPS,1,4911,4869,0,0,"Status Unavailable"
AV20,GPS,Installed,Operable,"Augustine Volcano",AK,AK,59.347378333916154,-153.4282069864639,542.2604234101209,PBO,"NOTA, PBO",GPS,0,,,,,"Status Unavailable"
