Iteration 1/6656: Lever: [-26.8495705   -1.12798126  36.33165477], Offset: 1996.0000, RMSE: 582.5176
Iteration 65/6656: Lever: [-11.76362096  -8.74730206  37.99578782], Offset: 2008.0000, RMSE: 556.2975
Iteration 66/6656: Lever: [-26.8801456   -2.78718386  40.27693159], Offset: 1996.0000, RMSE: 649.8480
Iteration 67/6656: Lever: [-22.68442559   2.36093641  12.88348537], Offset: 1997.0000, RMSE: 440.3716
Iteration 68/6656: Lever: [-21.82229936   0.89700205  20.69501654], Offset: 1998.0000, RMSE: 428.9495
Iteration 69/6656: Lever: [-21.98083033   2.35751106  40.58432725], Offset: 1999.0000, RMSE: 355.0390
Iteration 70/6656: Lever: [-20.66061425  -0.26078191  22.81206469], Offset: 2000.0000, RMSE: 420.1511
Iteration 71/6656: Lever: [-17.51475601   1.78252997  30.89885616], Offset: 2001.0000, RMSE: 298.7181
Iteration 72/6656: Lever: [-16.9268297   -0.43506743  19.25816845], Offset: 2002.0000, RMSE: 365.6117
Iteration 73/6656: Lever: [-17.19203831  -3.13406581  38.32885529], Offset: 2003.0000, RMSE: 464.6742
Iteration 74/6656: Lever: [-16.28477796  -2.78316877  37.7913486 ], Offset: 2004.0000, RMSE: 446.4964
Iteration 75/6656: Lever: [-12.05752708  -2.76282171  18.30116349], Offset: 2005.0000, RMSE: 362.5062
Iteration 76/6656: Lever: [-12.81341761  -7.07957694  32.02516179], Offset: 2006.0000, RMSE: 487.5777
Iteration 77/6656: Lever: [-12.36843063  -7.21264429  41.83635916], Offset: 2007.0000, RMSE: 504.7028
Iteration 78/6656: Lever: [-13.44030363 -10.65343408  37.15463829], Offset: 2008.0000, RMSE: 641.2308
Iteration 79/6656: Lever: [-24.00761583  -3.33501574  21.00175852], Offset: 1996.0000, RMSE: 719.4798
Iteration 80/6656: Lever: [-24.69051219   1.03702903  23.80963275], Offset: 1997.0000, RMSE: 480.9250
Iteration 81/6656: Lever: [-23.39744191   0.16307059  28.60115826], Offset: 1998.0000, RMSE: 447.4866
Iteration 82/6656: Lever: [-23.41419042  -1.02238816  38.86080214], Offset: 1999.0000, RMSE: 480.4385
Iteration 83/6656: Lever: [-20.99527522   1.91196648  28.07733804], Offset: 2000.0000, RMSE: 361.9012
Iteration 84/6656: Lever: [-20.39809737  -0.22756842  41.29226204], Offset: 2001.0000, RMSE: 402.3022
Iteration 85/6656: Lever: [-16.20858134   1.14026979  20.77707177], Offset: 2002.0000, RMSE: 309.2528
Iteration 86/6656: Lever: [-15.82023926  -1.43804413  28.41000894], Offset: 2003.0000, RMSE: 391.0026
Iteration 87/6656: Lever: [-15.36216887  -4.96216735  39.9086107 ], Offset: 2004.0000, RMSE: 476.5748
Iteration 88/6656: Lever: [-14.26528151  -5.44897922  26.31979422], Offset: 2005.0000, RMSE: 477.8316
Iteration 89/6656: Lever: [-12.58755275  -6.13364631  32.46372249], Offset: 2006.0000, RMSE: 459.8245
Iteration 90/6656: Lever: [-14.06680885  -7.30609606  42.25860895], Offset: 2007.0000, RMSE: 560.2810
Iteration 91/6656: Lever: [-11.6159058   -8.38757947  40.38814469], Offset: 2008.0000, RMSE: 545.2919
Iteration 92/6656: Lever: [-26.36338165  -0.11545154  31.17258989], Offset: 1996.0000, RMSE: 546.2009
Iteration 93/6656: Lever: [-25.61758939   1.32011837  23.54558228], Offset: 1997.0000, RMSE: 471.0426
Iteration 94/6656: Lever: [-24.63865666   1.5131919   41.53366454], Offset: 1998.0000, RMSE: 404.1399
Iteration 95/6656: Lever: [-21.88771341   2.92903736  42.10855195], Offset: 1999.0000, RMSE: 336.3078
Iteration 96/6656: Lever: [-20.62527609   1.43813104  24.11487505], Offset: 2000.0000, RMSE: 367.7414
Iteration 97/6656: Lever: [-19.46777056  -1.26013049  38.72572056], Offset: 2001.0000, RMSE: 416.6953
Iteration 98/6656: Lever: [-16.8857888   -0.83807961  18.3688415 ], Offset: 2002.0000, RMSE: 376.7871
Iteration 99/6656: Lever: [-16.42490962  -3.72149692  39.24462898], Offset: 2003.0000, RMSE: 468.0000
Iteration 100/6656: Lever: [-13.45515577  -2.88126114  29.73806089], Offset: 2004.0000, RMSE: 385.2497
Iteration 101/6656: Lever: [-14.45091507  -4.44559786  26.44376236], Offset: 2005.0000, RMSE: 460.0262
Iteration 102/6656: Lever: [-13.30435607  -8.62559889  34.920388  ], Offset: 2006.0000, RMSE: 537.1112
Iteration 103/6656: Lever: [-13.27397987  -7.19644331  38.14473528], Offset: 2007.0000, RMSE: 533.8946
Iteration 104/6656: Lever: [-12.35117169  -8.87054722  41.32923567], Offset: 2008.0000, RMSE: 576.2766
Iteration 105/6656: Lever: [-26.710532     2.30861401  37.74556328], Offset: 1996.0000, RMSE: 448.6831
Iteration 106/6656: Lever: [-21.12036503   4.53137648   7.21489121], Offset: 1997.0000, RMSE: 370.5368
Iteration 107/6656: Lever: [-23.75493193   2.60515     31.43106778], Offset: 1998.0000, RMSE: 362.8200
Iteration 108/6656: Lever: [-21.66875945   2.24267677  37.26296183], Offset: 1999.0000, RMSE: 355.5207
Iteration 109/6656: Lever: [-18.26972249   5.1008434   12.28480062], Offset: 2000.0000, RMSE: 228.0300
Iteration 110/6656: Lever: [-19.52955417   0.69083382  39.11052457], Offset: 2001.0000, RMSE: 361.3588
Iteration 111/6656: Lever: [-15.5669483    2.07624403  17.50162979], Offset: 2002.0000, RMSE: 272.3306
Iteration 112/6656: Lever: [-15.85132164  -1.46959155  28.76109276], Offset: 2003.0000, RMSE: 392.4826
Iteration 113/6656: Lever: [-14.88925719  -3.36254124  37.78057427], Offset: 2004.0000, RMSE: 424.2859
Iteration 114/6656: Lever: [-14.49910096  -4.27450239  26.53967684], Offset: 2005.0000, RMSE: 457.9934
Iteration 115/6656: Lever: [-9.37849525 -2.32882132 21.06941485], Offset: 2006.0000, RMSE: 300.5796
Iteration 116/6656: Lever: [-12.37821263  -4.61275976  36.26313961], Offset: 2007.0000, RMSE: 469.1258
Iteration 117/6656: Lever: [-13.82627229  -6.7194839   37.31000274], Offset: 2008.0000, RMSE: 610.3509
Iteration 118/6656: Lever: [-25.82587999   2.47730026  29.36446956], Offset: 1996.0000, RMSE: 447.0420
Iteration 119/6656: Lever: [-22.79294876   2.97694387  13.86125818], Offset: 1997.0000, RMSE: 413.8876
Iteration 120/6656: Lever: [-22.44291855   3.58437873  29.88135344], Offset: 1998.0000, RMSE: 323.9297
Iteration 121/6656: Lever: [-20.20682497   3.63449277  27.19366028], Offset: 1999.0000, RMSE: 298.7760
Iteration 122/6656: Lever: [-20.96610712   1.52762004  28.97128043], Offset: 2000.0000, RMSE: 371.3427
Iteration 123/6656: Lever: [-18.72370248  -0.9669154   36.95355844], Offset: 2001.0000, RMSE: 399.5879
Iteration 124/6656: Lever: [-14.74293341   2.48486837   9.23309121], Offset: 2002.0000, RMSE: 247.0762
Iteration 125/6656: Lever: [-13.9945262    0.6912446   19.68258692], Offset: 2003.0000, RMSE: 296.8485
Iteration 126/6656: Lever: [-14.38085541  -1.60149326  28.31445705], Offset: 2004.0000, RMSE: 370.5423
Iteration 127/6656: Lever: [-13.08125909  -4.35535664  23.45301304], Offset: 2005.0000, RMSE: 424.3786
Iteration 128/6656: Lever: [-13.47434369  -4.26168481  33.70963231], Offset: 2006.0000, RMSE: 450.3724
Iteration 129/6656: Lever: [-12.93623642  -7.03793079  36.64560176], Offset: 2007.0000, RMSE: 521.0884
Iteration 130/6656: Lever: [-10.43903456  -4.66012481  38.45754697], Offset: 2008.0000, RMSE: 460.7250
Iteration 131/6656: Lever: [-25.64896032   3.02384052  27.66808375], Offset: 1996.0000, RMSE: 426.8758
Iteration 132/6656: Lever: [-22.41609677   4.17031074  13.66128133], Offset: 1997.0000, RMSE: 368.7420
Iteration 133/6656: Lever: [-20.96964369   4.95144425  20.60502823], Offset: 1998.0000, RMSE: 277.2303
Iteration 134/6656: Lever: [-21.59355425   3.17031436  39.75453971], Offset: 1999.0000, RMSE: 325.2272
Iteration 135/6656: Lever: [-19.14133123   2.92113108  18.18645649], Offset: 2000.0000, RMSE: 302.8710
Iteration 136/6656: Lever: [-16.53462429   3.66271338  22.44431709], Offset: 2001.0000, RMSE: 229.6943
Iteration 137/6656: Lever: [-17.27438472  -0.3572102   20.0510888 ], Offset: 2002.0000, RMSE: 369.5715
Iteration 138/6656: Lever: [-14.28366522   0.84125803  22.72481947], Offset: 2003.0000, RMSE: 298.6246
Iteration 139/6656: Lever: [-13.16313667  -0.95383107  29.3968208 ], Offset: 2004.0000, RMSE: 326.9395
Iteration 140/6656: Lever: [-12.18265885  -1.17783397  22.23107671], Offset: 2005.0000, RMSE: 332.6449
Iteration 141/6656: Lever: [-13.67779303  -7.45752666  39.14207793], Offset: 2006.0000, RMSE: 515.1679
Iteration 142/6656: Lever: [-11.15686573  -6.85505389  39.84005486], Offset: 2007.0000, RMSE: 464.7009
Iteration 143/6656: Lever: [-12.65365881  -8.44574911  41.47233637], Offset: 2008.0000, RMSE: 580.2920
Iteration 144/6656: Lever: [-25.50238504   1.38124029  30.69821614], Offset: 1996.0000, RMSE: 494.2264
Iteration 145/6656: Lever: [-21.72710769   2.36807729  10.1291974 ], Offset: 1997.0000, RMSE: 452.6395
Iteration 146/6656: Lever: [-22.62128138   3.69227085  30.9834744 ], Offset: 1998.0000, RMSE: 320.5876
Iteration 147/6656: Lever: [-21.17370137   2.80755004  38.83502019], Offset: 1999.0000, RMSE: 332.8092
Iteration 148/6656: Lever: [-18.76716463   4.68787468  18.84609298], Offset: 2000.0000, RMSE: 247.7480
Iteration 149/6656: Lever: [-17.68970246   2.13716064  29.81273376], Offset: 2001.0000, RMSE: 290.3073
Iteration 150/6656: Lever: [-16.53447018   0.71812125  16.32082036], Offset: 2002.0000, RMSE: 326.7659
Iteration 151/6656: Lever: [-13.96103389   0.73068665  19.23025487], Offset: 2003.0000, RMSE: 295.2239
Iteration 152/6656: Lever: [-12.66336122  -1.46851782  23.42625058], Offset: 2004.0000, RMSE: 331.5443
Iteration 153/6656: Lever: [-12.70909481  -3.1672633   26.32763152], Offset: 2005.0000, RMSE: 387.3192
Iteration 154/6656: Lever: [-13.84413754  -5.08747905  40.09526087], Offset: 2006.0000, RMSE: 473.6751
Iteration 155/6656: Lever: [-13.49925986  -6.98624705  38.8742087 ], Offset: 2007.0000, RMSE: 537.7021
Iteration 156/6656: Lever: [-12.28289961  -5.75777293  36.37096569], Offset: 2008.0000, RMSE: 541.9055
Iteration 157/6656: Lever: [-25.33417641   3.32601492  23.11643245], Offset: 1996.0000, RMSE: 417.2585
Iteration 158/6656: Lever: [-24.49168272   6.07745045  21.6013183 ], Offset: 1997.0000, RMSE: 304.4856
Iteration 159/6656: Lever: [-23.09165518   0.84433414  29.2322451 ], Offset: 1998.0000, RMSE: 422.9557
Iteration 160/6656: Lever: [-21.29602924   4.79120401  37.97687299], Offset: 1999.0000, RMSE: 274.8672
Iteration 161/6656: Lever: [-20.082645     3.14834546  22.45320131], Offset: 2000.0000, RMSE: 312.4388
Iteration 162/6656: Lever: [-17.23649138   3.54193273  30.16503562], Offset: 2001.0000, RMSE: 244.0005
Iteration 163/6656: Lever: [-17.10610783  -0.35446721  21.69178291], Offset: 2002.0000, RMSE: 366.2722
Iteration 164/6656: Lever: [-15.34542668  -0.60896921  28.72878742], Offset: 2003.0000, RMSE: 358.8395
Iteration 165/6656: Lever: [-13.33357476  -0.90346396  22.17655709], Offset: 2004.0000, RMSE: 329.3531
Iteration 166/6656: Lever: [-12.44478028  -2.35645285  18.22344811], Offset: 2005.0000, RMSE: 362.9114
Iteration 167/6656: Lever: [-15.47678761  -4.68517206  38.2296069 ], Offset: 2006.0000, RMSE: 525.6879
Iteration 168/6656: Lever: [-12.65765239  -5.03014129  38.91379091], Offset: 2007.0000, RMSE: 482.8057
Iteration 169/6656: Lever: [-11.73710202  -4.03767233  38.7025389 ], Offset: 2008.0000, RMSE: 513.3914
Iteration 170/6656: Lever: [-23.87517212   1.82379921  17.89984938], Offset: 1996.0000, RMSE: 499.6891
Iteration 171/6656: Lever: [-23.31597849   3.47081741  14.79814709], Offset: 1997.0000, RMSE: 390.4819
Iteration 172/6656: Lever: [-23.7267692    1.59890626  38.73903925], Offset: 1998.0000, RMSE: 395.8935
Iteration 173/6656: Lever: [-21.18787396   2.82812796  40.44109634], Offset: 1999.0000, RMSE: 332.3875
Iteration 174/6656: Lever: [-18.67540741   4.23420948  13.68081768], Offset: 2000.0000, RMSE: 258.0955
Iteration 175/6656: Lever: [-17.91284189   2.35499855  31.88209375], Offset: 2001.0000, RMSE: 287.6699
Iteration 176/6656: Lever: [-15.50864847   1.54263992  13.00100645], Offset: 2002.0000, RMSE: 286.0142
Iteration 177/6656: Lever: [-16.98469301  -2.55074628  38.65326904], Offset: 2003.0000, RMSE: 444.8220
Iteration 178/6656: Lever: [-12.89920515  -2.04734582  22.26694574], Offset: 2004.0000, RMSE: 352.1619
Iteration 179/6656: Lever: [-13.9606225   -4.40348712  27.32120642], Offset: 2005.0000, RMSE: 446.1062
Iteration 180/6656: Lever: [-11.94448023  -2.30256657  29.96504476], Offset: 2006.0000, RMSE: 374.5408
Iteration 181/6656: Lever: [-10.46972998  -4.62988622  40.6574393 ], Offset: 2007.0000, RMSE: 401.9223
Iteration 182/6656: Lever: [-12.24738419  -5.59811378  36.61663647], Offset: 2008.0000, RMSE: 539.5218
Iteration 183/6656: Lever: [-24.72368389   2.21305472  21.44912379], Offset: 1996.0000, RMSE: 469.8879
Iteration 184/6656: Lever: [-22.76494574   3.79816278   9.29286062], Offset: 1997.0000, RMSE: 381.1139
Iteration 185/6656: Lever: [-22.76935723   4.5778912   27.06439011], Offset: 1998.0000, RMSE: 292.7103
Iteration 186/6656: Lever: [-20.29531632   4.9566823   28.92761491], Offset: 1999.0000, RMSE: 255.2332
Iteration 187/6656: Lever: [-20.40723096   2.20283914  23.08346307], Offset: 2000.0000, RMSE: 343.0281
Iteration 188/6656: Lever: [-19.29549499   1.38566812  38.5336216 ], Offset: 2001.0000, RMSE: 339.0191
Iteration 189/6656: Lever: [-15.25930508   1.91297672  14.13689071], Offset: 2002.0000, RMSE: 271.3658
Iteration 190/6656: Lever: [-14.18657816   1.27451419  22.78815652], Offset: 2003.0000, RMSE: 285.5157
Iteration 191/6656: Lever: [-15.10250709  -3.5002458   32.86184414], Offset: 2004.0000, RMSE: 432.2533
Iteration 192/6656: Lever: [-12.76752559  -4.04507486  19.09773011], Offset: 2005.0000, RMSE: 409.9610
Iteration 193/6656: Lever: [-13.87729672  -5.7382932   37.3662967 ], Offset: 2006.0000, RMSE: 485.4197
Iteration 194/6656: Lever: [-13.27942774  -3.77161772  43.14067314], Offset: 2007.0000, RMSE: 496.8349
Iteration 195/6656: Lever: [-11.6517759   -5.94878753  39.19515163], Offset: 2008.0000, RMSE: 517.3360
Iteration 196/6656: Lever: [-25.29588828   2.16655121  29.73248323], Offset: 1996.0000, RMSE: 464.6032
Iteration 197/6656: Lever: [-23.47135055   0.27668514  20.20224814], Offset: 1997.0000, RMSE: 518.6981
Iteration 198/6656: Lever: [-22.7023544    3.5583912   24.93484562], Offset: 1998.0000, RMSE: 325.6519
Iteration 199/6656: Lever: [-18.54039974   6.75000839  19.50462433], Offset: 1999.0000, RMSE: 184.5727
Iteration 200/6656: Lever: [-18.85157962   2.63306667  13.80115008], Offset: 2000.0000, RMSE: 309.0193
Iteration 201/6656: Lever: [-17.87065663   2.47435962  33.69901779], Offset: 2001.0000, RMSE: 283.4887
Iteration 202/6656: Lever: [-14.90712927   2.4762891   14.22957684], Offset: 2002.0000, RMSE: 249.8686
Iteration 203/6656: Lever: [-13.2806409    1.5813117   15.94527752], Offset: 2003.0000, RMSE: 258.9950
Iteration 204/6656: Lever: [-13.20570742  -1.8170379   22.56927926], Offset: 2004.0000, RMSE: 350.5456
Iteration 205/6656: Lever: [-14.37916237  -2.96032293  29.78884443], Offset: 2005.0000, RMSE: 430.8605
Iteration 206/6656: Lever: [-15.09920997  -5.82201858  42.85444259], Offset: 2006.0000, RMSE: 524.5867
Iteration 207/6656: Lever: [-10.89562525  -5.46090604  40.37371051], Offset: 2007.0000, RMSE: 429.3220
Iteration 208/6656: Lever: [-10.35051454  -7.41371172  40.80312934], Offset: 2008.0000, RMSE: 490.0097
Iteration 209/6656: Lever: [-24.15240137   5.36227465  16.99490376], Offset: 1996.0000, RMSE: 347.8622
Iteration 210/6656: Lever: [-22.42033237   7.57174561   9.55840593], Offset: 1997.0000, RMSE: 238.7531
Iteration 211/6656: Lever: [-20.76157903   6.58891939  17.26994116], Offset: 1998.0000, RMSE: 218.2110
Iteration 212/6656: Lever: [-20.35360036   5.48281629  27.67996951], Offset: 1999.0000, RMSE: 240.3130
Iteration 213/6656: Lever: [-16.06125209   7.86671478   4.13383531], Offset: 2000.0000, RMSE: 121.6438
Iteration 214/6656: Lever: [-16.44612509   3.88370349  23.5037754 ], Offset: 2001.0000, RMSE: 222.1184
Iteration 215/6656: Lever: [-14.93876677   3.05925901  14.36713622], Offset: 2002.0000, RMSE: 234.5939
Iteration 216/6656: Lever: [-16.45044981  -2.00283904  36.87661039], Offset: 2003.0000, RMSE: 419.0704
Iteration 217/6656: Lever: [-12.13267059   0.86643348  18.6295667 ], Offset: 2004.0000, RMSE: 260.1415
Iteration 218/6656: Lever: [-10.54595575  -1.53854147  14.39428376], Offset: 2005.0000, RMSE: 300.2489
Iteration 219/6656: Lever: [-11.7000887   -3.1492755   27.80540316], Offset: 2006.0000, RMSE: 377.7744
Iteration 220/6656: Lever: [-10.64319141  -3.62276851  37.24176557], Offset: 2007.0000, RMSE: 394.1650
Iteration 221/6656: Lever: [-10.55806851  -3.51538287  39.2710565 ], Offset: 2008.0000, RMSE: 461.5946
Iteration 222/6656: Lever: [-24.89903169   6.30901396  26.75972347], Offset: 1996.0000, RMSE: 305.1774
Iteration 223/6656: Lever: [-24.8276004    5.82062639  19.96386122], Offset: 1997.0000, RMSE: 316.3496
Iteration 224/6656: Lever: [-20.78842022   8.4264789   17.84929566], Offset: 1998.0000, RMSE: 161.8001
Iteration 225/6656: Lever: [-19.0087037    6.68594381  19.75792961], Offset: 1999.0000, RMSE: 188.8914
Iteration 226/6656: Lever: [-17.95850118   4.36795171  10.66334118], Offset: 2000.0000, RMSE: 245.0309
Iteration 227/6656: Lever: [-16.14646427   4.13430951  23.90087937], Offset: 2001.0000, RMSE: 210.8653
Iteration 228/6656: Lever: [-15.37996545   1.79824503  11.11840125], Offset: 2002.0000, RMSE: 276.7101
Iteration 229/6656: Lever: [-12.49841237   2.32640191  18.82201978], Offset: 2003.0000, RMSE: 225.0171
Iteration 230/6656: Lever: [-13.8419181   -1.57304443  30.3643835 ], Offset: 2004.0000, RMSE: 356.8140
Iteration 231/6656: Lever: [-14.85756044  -4.11735665  29.39016517], Offset: 2005.0000, RMSE: 465.2859
Iteration 232/6656: Lever: [-11.86903597  -3.89657392  37.16491341], Offset: 2006.0000, RMSE: 395.3186
Iteration 233/6656: Lever: [-11.7574096   -5.37637071  36.88695964], Offset: 2007.0000, RMSE: 455.9905
Iteration 234/6656: Lever: [-13.85528122  -5.36601676  40.40722078], Offset: 2008.0000, RMSE: 607.0707
Iteration 235/6656: Lever: [-25.20508007   5.1458056   19.6158743 ], Offset: 1996.0000, RMSE: 347.5823
Iteration 236/6656: Lever: [-22.26576295   8.59764205   3.6765455 ], Offset: 1997.0000, RMSE: 204.5772
Iteration 237/6656: Lever: [-22.28134587   5.08248877  29.11330237], Offset: 1998.0000, RMSE: 273.2463
Iteration 238/6656: Lever: [-19.94273995   6.02663559  20.66644847], Offset: 1999.0000, RMSE: 219.3897
Iteration 239/6656: Lever: [-19.35830345   3.52737984  21.32592075], Offset: 2000.0000, RMSE: 288.8511
Iteration 240/6656: Lever: [-15.05836537   6.15171942  17.79066609], Offset: 2001.0000, RMSE: 139.0903
Iteration 241/6656: Lever: [-14.91708737   1.96995626  10.4444955 ], Offset: 2002.0000, RMSE: 264.8910
Iteration 242/6656: Lever: [-14.01633604   1.09402301  25.97287142], Offset: 2003.0000, RMSE: 286.5171
Iteration 243/6656: Lever: [-11.56305624   0.26546562  19.35978438], Offset: 2004.0000, RMSE: 264.0148
Iteration 244/6656: Lever: [-13.11669405  -3.40239082  20.78028311], Offset: 2005.0000, RMSE: 402.6922
Iteration 245/6656: Lever: [-11.56902486  -2.57356116  36.09910171], Offset: 2006.0000, RMSE: 365.2578
